cliente,receita_total,segmento
Cliente_001,23240.0,Ouro
Cliente_002,18720.0,Ouro
Cliente_003,61200.0,Ouro
Cliente_004,61800.0,Ouro
Cliente_005,26570.0,Ouro
Cliente_006,14960.0,Prata
Cliente_007,14800.0,Prata
Cliente_008,47940.0,Ouro
Cliente_009,51150.0,Ouro
Cliente_010,2980.0,Bronze
Cliente_011,35000.0,Ouro
Cliente_012,17800.0,Ouro
Cliente_013,61460.0,Ouro
Cliente_014,67160.0,Ouro
Cliente_015,43040.0,Ouro
Cliente_016,20450.0,Ouro
Cliente_017,22200.0,Ouro
Cliente_018,67840.0,Ouro
Cliente_019,48010.0,Ouro
Cliente_020,44800.0,Ouro
Cliente_021,19080.0,Ouro
Cliente_022,30760.0,Ouro
Cliente_023,51300.0,Ouro
Cliente_024,51940.0,Ouro
Cliente_025,19650.0,Ouro
Cliente_026,31920.0,Ouro
Cliente_027,29400.0,Ouro
Cliente_028,11850.0,Prata
Cliente_029,83830.0,Ouro
Cliente_030,33100.0,Ouro
